id,address_state,emp_length,emp_title,grade,home_ownership,issue_date,last_credit_pull_date,last_payment_date,loan_status,next_payment_date,member_id,purpose,sub_grade,term,verification_status,annual_income,dti,installment,int_rate,loan_amount,total_acc,total_payment,loan_category,good_loan_flag,bad_loan_flag,issue_year,issue_month,issue_month_name,issue_year_month,payment_difference,payment_ratio
1059936,NY,4 years,OEC Freight,C,RENT,2021-09-10,2021-09-15,2021-11-12,Fully Paid,2021-12-12,1291775,car,C2,36 months,Source Verified,40000.0,0.1869,343.09,0.1427,10000,7,11156,Good Loan,1,0,2021.0,9.0,September,2021-09,1156,1.1156
1059497,FL,10+ years,Sandestin Beach Hilton,B,MORTGAGE,2021-12-12,2021-12-14,2021-12-14,Fully Paid,2022-01-14,1291322,car,B2,36 months,Verified,35000.0,0.1392,162.87,0.1065,5000,23,5863,Good Loan,1,0,2021.0,12.0,December,2021-12,863,1.1726
1058060,MD,10+ years,Not Specified,D,OWN,2021-02-02,2021-05-16,2021-02-15,Fully Paid,2021-03-15,1289636,car,D1,36 months,Not Verified,40000.0,0.0957,176.51,0.1629,5000,13,6361,Good Loan,1,0,2021.0,2.0,February,2021-02,1361,1.2722
112245,WI,6 years,Norman G. Olson Insurance,A,RENT,2021-07-07,2021-04-16,2021-08-10,Fully Paid,2021-09-10,112227,car,A2,36 months,Not Verified,40000.0,0.0255,155.38,0.0743,5000,7,5594,Good Loan,1,0,2021.0,7.0,July,2021-07,594,1.1188
207910,FL,< 1 year,Not Specified,A,MORTGAGE,2021-08-01,2021-05-16,2021-02-10,Charged Off,2021-03-10,183496,car,A2,36 months,Not Verified,120000.0,0.0767,69.14,0.0743,2225,20,2508,Bad Loan,0,1,2021.0,8.0,August,2021-08,283,1.1272
65426,MI,< 1 year,"Infotrieve, Inc.",B,MORTGAGE,2021-09-08,2021-05-16,2021-06-11,Charged Off,2021-07-11,232106,car,B1,36 months,Not Verified,60000.0,0.1108,131.22,0.1114,4000,33,2755,Bad Loan,0,1,2021.0,9.0,September,2021-09,-1245,0.6888
211723,MD,4 years,self employed,C,OWN,2021-08-01,2021-12-09,2021-08-08,Charged Off,2021-09-08,211606,car,C2,36 months,Not Verified,72000.0,0.0512,262.26,0.1109,8000,8,2135,Bad Loan,0,1,2021.0,8.0,August,2021-08,-5865,0.2669
662350,NV,10+ years,Clark County School District,A,MORTGAGE,2021-11-01,2021-02-13,2021-08-12,Charged Off,2021-09-12,847024,car,A5,36 months,Not Verified,70800.0,0.0795,77.95,0.0766,2500,39,1479,Bad Loan,0,1,2021.0,11.0,November,2021-11,-1021,0.5916
1006769,PA,6 years,The Mount Sinai School of Medicine,A,MORTGAGE,2021-11-11,2021-11-13,2021-06-13,Charged Off,2021-07-13,1233120,car,A3,36 months,Not Verified,80000.0,0.0648,124.45,0.0751,4000,11,2479,Bad Loan,0,1,2021.0,11.0,November,2021-11,-1521,0.6198
405898,GA,< 1 year,Blue Ridge Design Group,A,MORTGAGE,2021-09-06,2021-05-16,2021-12-09,Charged Off,2022-01-09,454145,car,A5,36 months,Not Verified,36000.0,0.15,385.14,0.0963,12000,24,2306,Bad Loan,0,1,2021.0,9.0,September,2021-09,-9694,0.1922
445846,MI,10+ years,Abbott Nutrition,A,MORTGAGE,2021-09-10,2021-05-16,2021-02-12,Charged Off,2021-03-12,544784,car,A5,36 months,Not Verified,45000.0,0.152,222.41,0.0894,7000,24,6446,Bad Loan,0,1,2021.0,9.0,September,2021-09,-554,0.9209
659221,MI,3 years,rice &werthmann,A,MORTGAGE,2021-11-01,2021-05-16,2021-10-13,Charged Off,2021-11-13,843127,car,A5,36 months,Not Verified,86400.0,0.0385,280.62,0.0766,9000,10,8945,Bad Loan,0,1,2021.0,11.0,November,2021-11,-55,0.9939
782425,UT,6 years,Five County Assoc of Governments,A,MORTGAGE,2021-11-06,2021-05-16,2021-07-12,Charged Off,2021-08-12,985412,car,A5,36 months,Not Verified,24600.0,0.0785,152.42,0.089,4800,21,1978,Bad Loan,0,1,2021.0,11.0,November,2021-11,-2822,0.4121
458328,GA,< 1 year,north ga dentention center,B,MORTGAGE,2021-10-01,2021-11-10,2021-07-10,Charged Off,2021-08-10,570309,car,B2,36 months,Not Verified,30000.0,0.0992,164.85,0.1148,5000,19,884,Bad Loan,0,1,2021.0,10.0,October,2021-10,-4116,0.1768
744344,WA,6 years,Not Specified,B,MORTGAGE,2021-11-05,2021-05-16,2021-01-13,Charged Off,2021-02-13,942813,car,B4,36 months,Not Verified,48000.0,0.2357,197.83,0.1149,6000,27,3950,Bad Loan,0,1,2021.0,11.0,November,2021-11,-2050,0.6583
1026463,FL,6 years,sky powersports,C,MORTGAGE,2021-11-11,2021-04-14,2021-12-13,Charged Off,2022-01-13,1255647,car,C3,36 months,Not Verified,60000.0,0.0366,217.32,0.1465,6300,10,5554,Bad Loan,0,1,2021.0,11.0,November,2021-11,-746,0.8816
489679,FL,2 years,Synovus Bank,D,MORTGAGE,2021-10-03,2021-12-12,2021-07-12,Charged Off,2021-08-12,624878,car,D4,36 months,Not Verified,34000.0,0.1486,210.07,0.157,6000,6,5986,Bad Loan,0,1,2021.0,10.0,October,2021-10,-14,0.9977
519658,GA,< 1 year,ACUMEN FISCAL AGENT/MS ROBINSON,A,OWN,2021-10-05,2021-01-12,2021-08-11,Charged Off,2021-09-11,671773,car,A5,36 months,Not Verified,18000.0,0.216,148.59,0.0788,4750,16,2216,Bad Loan,0,1,2021.0,10.0,October,2021-10,-2534,0.4665
470041,CA,10+ years,inspired automation inc,A,OWN,2021-10-01,2021-03-12,2021-10-11,Charged Off,2021-11-11,593245,car,A1,36 months,Not Verified,43800.0,0.0737,148.32,0.0705,4800,7,3210,Bad Loan,0,1,2021.0,10.0,October,2021-10,-1590,0.6688
393852,NH,10+ years,self,B,OWN,2021-09-05,2021-06-11,2021-01-11,Charged Off,2021-02-11,432187,car,B4,36 months,Not Verified,98736.0,0.0812,50.58,0.1189,9000,19,1045,Bad Loan,0,1,2021.0,9.0,September,2021-09,-7955,0.1161
725534,TX,1 year,Able Electronics,B,OWN,2021-11-04,2021-12-13,2021-07-13,Charged Off,2021-08-13,920793,car,B4,36 months,Not Verified,48000.0,0.051,60.34,0.1074,1850,45,1655,Bad Loan,0,1,2021.0,11.0,November,2021-11,-195,0.8946
428387,PA,< 1 year,Abraxas I,C,OWN,2021-09-07,2021-05-16,2021-10-09,Charged Off,2021-11-09,506847,car,C2,36 months,Not Verified,27852.0,0.1021,141.2,0.1284,4200,28,282,Bad Loan,0,1,2021.0,9.0,September,2021-09,-3918,0.0671
783561,CA,6 years,La curacao,A,RENT,2021-11-06,2021-06-12,2021-02-12,Charged Off,2021-03-12,986688,car,A4,36 months,Not Verified,48000.0,0.2585,186.61,0.0749,6000,16,1575,Bad Loan,0,1,2021.0,11.0,November,2021-11,-4425,0.2625
969474,HI,7 years,Outback Steakhouse,A,RENT,2021-11-10,2021-03-14,2021-10-13,Charged Off,2021-11-13,1190684,car,A5,36 months,Not Verified,30000.0,0.1872,228.63,0.089,7200,25,5845,Bad Loan,0,1,2021.0,11.0,November,2021-11,-1355,0.8118
773111,WA,3 years,URS corp,A,RENT,2021-11-06,2021-04-14,2021-11-13,Charged Off,2021-12-13,975126,car,A5,36 months,Not Verified,22800.0,0.0526,75.76,0.0849,2400,3,2278,Bad Loan,0,1,2021.0,11.0,November,2021-11,-122,0.9492
472634,FL,1 year,walmart,A,RENT,2021-09-12,2021-04-11,2021-11-10,Charged Off,2021-12-10,596856,car,A1,36 months,Not Verified,12720.0,0.0,231.75,0.0705,7500,9,2073,Bad Loan,0,1,2021.0,9.0,September,2021-09,-5427,0.2764
494891,MA,5 years,EdgeStream Inc,B,RENT,2021-10-03,2021-04-16,2021-03-11,Charged Off,2021-04-11,633723,car,B5,36 months,Not Verified,31000.0,0.0159,182.66,0.1136,5550,5,2083,Bad Loan,0,1,2021.0,10.0,October,2021-10,-3467,0.3753
458797,NV,8 years,MAD MATT'S Bar & Grille,B,RENT,2021-09-11,2021-11-11,2021-07-11,Charged Off,2021-08-11,571361,car,B2,36 months,Not Verified,89650.0,0.0056,725.31,0.1148,22000,19,15424,Bad Loan,0,1,2021.0,9.0,September,2021-09,-6576,0.7011
743690,OK,3 years,Dominos Pizza,B,RENT,2021-11-05,2021-02-15,2021-06-12,Charged Off,2021-07-12,942003,car,B5,36 months,Not Verified,45000.0,0.1464,332.1,0.1199,10000,18,4553,Bad Loan,0,1,2021.0,11.0,November,2021-11,-5447,0.4553
384963,NJ,10+ years,Pesci Family,B,RENT,2021-09-03,2021-07-11,2021-03-11,Charged Off,2021-04-11,416412,car,B1,36 months,Not Verified,39996.0,0.2298,261.71,0.1095,8000,43,6197,Bad Loan,0,1,2021.0,9.0,September,2021-09,-1803,0.7746
508426,OH,< 1 year,Forum Health,B,RENT,2021-10-05,2021-05-16,2021-12-11,Charged Off,2022-01-11,656002,car,B4,36 months,Not Verified,49800.0,0.174,163.68,0.1099,5000,13,3110,Bad Loan,0,1,2021.0,10.0,October,2021-10,-1890,0.622
402318,IL,8 years,River Trails Park District,B,RENT,2021-09-05,2021-03-12,2021-10-11,Charged Off,2021-11-11,446914,car,B5,36 months,Not Verified,15000.0,0.1688,106.61,0.1221,3200,19,3140,Bad Loan,0,1,2021.0,9.0,September,2021-09,-60,0.9812
359401,CA,2 years,DMS Marketing,C,RENT,2021-08-10,2021-05-16,2021-09-09,Charged Off,2021-10-09,366581,car,C3,36 months,Not Verified,48000.0,0.1753,200.47,0.1241,6000,14,5104,Bad Loan,0,1,2021.0,8.0,August,2021-08,-896,0.8507
290803,TX,< 1 year,Nesle,C,RENT,2021-08-03,2021-12-10,2021-08-10,Charged Off,2021-09-10,290796,car,C2,36 months,Not Verified,37440.0,0.0772,98.7,0.1134,3000,14,2798,Bad Loan,0,1,2021.0,8.0,August,2021-08,-202,0.9327
847836,AZ,7 years,24 hour fitness,C,RENT,2021-11-08,2021-05-16,2021-05-13,Charged Off,2021-06-13,1059380,car,C3,36 months,Not Verified,105000.0,0.135,382.74,0.1399,11200,29,8037,Bad Loan,0,1,2021.0,11.0,November,2021-11,-3163,0.7176
362098,FL,2 years,Starbucks,D,RENT,2021-08-11,2021-01-11,2021-08-10,Charged Off,2021-09-10,371139,car,D2,36 months,Not Verified,15000.0,0.14,136.08,0.1367,4000,13,2685,Bad Loan,0,1,2021.0,8.0,August,2021-08,-1315,0.6712
1044994,CA,4 years,URS Corp,D,RENT,2021-11-12,2021-05-16,2021-03-14,Charged Off,2021-04-14,1275383,car,D2,36 months,Not Verified,59100.0,0.1287,106.62,0.1677,3000,13,2772,Bad Loan,0,1,2021.0,11.0,November,2021-11,-228,0.924
734343,NY,4 years,Berean Group,B,MORTGAGE,2021-11-04,2021-03-14,2021-10-13,Charged Off,2021-11-13,930853,car,B2,36 months,Not Verified,126000.0,0.1529,193.61,0.1,6000,22,5796,Bad Loan,0,1,2021.0,11.0,November,2021-11,-204,0.966
126392,WI,< 1 year,Tideway Systems,A,MORTGAGE,2021-07-09,2021-08-07,2021-04-08,Fully Paid,2021-05-08,125914,car,A4,36 months,Not Verified,173000.0,0.0072,313.67,0.0807,10000,41,10435,Good Loan,1,0,2021.0,7.0,July,2021-07,435,1.0435
269289,CT,< 1 year,mdm golf,A,MORTGAGE,2021-08-03,2021-01-11,2021-10-10,Fully Paid,2021-11-10,260821,car,A5,36 months,Not Verified,60000.0,0.0894,316.28,0.0863,10000,27,11340,Good Loan,1,0,2021.0,8.0,August,2021-08,1340,1.134
266282,TX,5 years,"NetVida Marketing, Inc.",B,MORTGAGE,2021-08-02,2021-05-10,2021-05-10,Fully Paid,2021-06-10,188654,car,B2,36 months,Not Verified,40000.0,0.1872,257.24,0.0976,8000,35,9149,Good Loan,1,0,2021.0,8.0,August,2021-08,1149,1.1436
243406,NJ,9 years,CK General Construction,B,MORTGAGE,2021-08-02,2021-09-12,2021-02-11,Fully Paid,2021-03-11,243089,car,B2,36 months,Not Verified,200000.0,0.0484,192.93,0.0976,6000,22,6945,Good Loan,1,0,2021.0,8.0,August,2021-08,945,1.1575
226154,MN,10+ years,Ramsey County,E,MORTGAGE,2021-08-01,2021-01-11,2021-02-11,Fully Paid,2021-03-11,225530,car,E1,36 months,Not Verified,72000.0,0.2257,170.72,0.1393,5000,44,6146,Good Loan,1,0,2021.0,8.0,August,2021-08,1146,1.2292
253727,WA,2 years,Central Washington Hospital,A,OWN,2021-08-02,2021-09-10,2021-09-10,Fully Paid,2021-10-10,253715,car,A5,36 months,Not Verified,10000.0,0.0,142.33,0.0863,4500,6,5096,Good Loan,1,0,2021.0,8.0,August,2021-08,596,1.1324
196380,CA,10+ years,Comerica Bank,A,RENT,2021-08-01,2021-02-10,2021-02-10,Fully Paid,2021-03-10,188466,car,A4,36 months,Not Verified,62000.0,0.1407,345.06,0.0807,11000,23,12247,Good Loan,1,0,2021.0,8.0,August,2021-08,1247,1.1134
206181,MA,< 1 year,Lexington Alarm Systems,A,RENT,2021-08-01,2021-04-16,2021-04-10,Fully Paid,2021-05-10,167318,car,A1,36 months,Not Verified,28800.0,0.0,108.27,0.0712,3500,5,3863,Good Loan,1,0,2021.0,8.0,August,2021-08,363,1.1037
219070,CO,2 years,Arborist Services,B,RENT,2021-08-02,2021-09-10,2021-09-10,Fully Paid,2021-10-10,219037,car,B5,36 months,Not Verified,50000.0,0.0506,194.91,0.1046,6000,21,6982,Good Loan,1,0,2021.0,8.0,August,2021-08,982,1.1637
219000,WA,3 years,Evergreen Treatment Services,B,RENT,2021-08-01,2021-01-11,2021-01-11,Fully Paid,2021-02-11,218997,car,B1,36 months,Not Verified,37000.0,0.1674,175.42,0.092,5500,36,6320,Good Loan,1,0,2021.0,8.0,August,2021-08,820,1.1491
281384,TN,< 1 year,Church of God of Prophecy,C,RENT,2021-08-03,2021-03-11,2021-03-11,Fully Paid,2021-04-11,281309,car,C3,36 months,Not Verified,54263.0,0.1238,115.69,0.1166,3500,23,4164,Good Loan,1,0,2021.0,8.0,August,2021-08,664,1.1897
120525,VA,1 year,Starbucks,C,RENT,2021-07-08,2021-06-11,2021-08-10,Fully Paid,2021-09-10,120227,car,C3,36 months,Not Verified,18000.0,0.18,130.79,0.1091,4000,5,4708,Good Loan,1,0,2021.0,7.0,July,2021-07,708,1.177
253987,VA,2 years,Comcast,C,RENT,2021-08-02,2021-05-16,2021-06-10,Fully Paid,2021-07-10,253974,car,C1,36 months,Not Verified,41000.0,0.1692,98.26,0.1103,3000,16,3498,Good Loan,1,0,2021.0,8.0,August,2021-08,498,1.166
450292,CT,1 year,Newcomb Spring,A,MORTGAGE,2021-09-10,2021-02-16,2021-10-12,Fully Paid,2021-11-12,553755,car,A2,36 months,Not Verified,85000.0,0.0239,136.66,0.074,4400,19,4920,Good Loan,1,0,2021.0,9.0,September,2021-09,520,1.1182
401775,GA,1 year,Chemlink Laboratories,A,MORTGAGE,2021-09-05,2021-05-12,2021-05-12,Fully Paid,2021-06-12,446077,car,A2,36 months,Not Verified,28500.0,0.0223,265.13,0.0768,8500,10,9544,Good Loan,1,0,2021.0,9.0,September,2021-09,1044,1.1228
373881,TX,1 year,Jesuit College Preparatory School,A,MORTGAGE,2021-09-01,2021-02-11,2021-02-11,Fully Paid,2021-03-11,394401,car,A2,36 months,Not Verified,40308.0,0.0578,155.96,0.0768,5000,19,5422,Good Loan,1,0,2021.0,9.0,September,2021-09,422,1.0844
973780,TX,1 year,Diamond Offshore,A,MORTGAGE,2021-11-10,2021-10-14,2021-10-14,Fully Paid,2021-11-14,1195796,car,A2,36 months,Not Verified,149400.0,0.0994,214.93,0.0662,7000,43,7737,Good Loan,1,0,2021.0,11.0,November,2021-11,737,1.1053
750759,WI,1 year,BRP US Inc,A,MORTGAGE,2021-11-06,2021-06-14,2021-06-14,Fully Paid,2021-07-14,950147,car,A2,36 months,Not Verified,54000.0,0.1129,60.84,0.0599,2000,18,2190,Good Loan,1,0,2021.0,11.0,November,2021-11,190,1.095
745149,OH,1 year,Independant Contractor,A,MORTGAGE,2021-11-05,2021-05-16,2021-05-14,Fully Paid,2021-06-14,943695,car,A3,36 months,Not Verified,38400.0,0.0319,74.1,0.0699,2400,7,2667,Good Loan,1,0,2021.0,11.0,November,2021-11,267,1.1112
775926,MO,1 year,Northwwind Engineering,A,MORTGAGE,2021-11-06,2021-06-14,2021-06-14,Fully Paid,2021-07-14,978223,car,A4,36 months,Not Verified,60000.0,0.0242,149.29,0.0749,4800,6,5374,Good Loan,1,0,2021.0,11.0,November,2021-11,574,1.1196
651079,RI,1 year,Fakouri Electrical,A,MORTGAGE,2021-11-01,2021-01-14,2021-01-14,Fully Paid,2021-02-14,832879,car,A4,36 months,Not Verified,58000.0,0.2127,124.04,0.0729,4000,24,4466,Good Loan,1,0,2021.0,11.0,November,2021-11,466,1.1165
627209,MD,10+ years,Second Empire Furniture Inc.,A,MORTGAGE,2021-10-12,2021-10-14,2021-12-13,Fully Paid,2022-01-13,803704,car,A1,36 months,Not Verified,31000.0,0.0283,241.28,0.0542,8000,17,8686,Good Loan,1,0,2021.0,10.0,October,2021-10,686,1.0858
781516,MO,10+ years,state of missouri department of correcti,A,MORTGAGE,2021-11-06,2021-07-11,2021-08-11,Fully Paid,2021-09-11,984370,car,A1,36 months,Not Verified,33600.0,0.0161,90.48,0.0542,3000,15,3014,Good Loan,1,0,2021.0,11.0,November,2021-11,14,1.0047
971771,CA,10+ years,"Stafford Meat Co., Inc.",A,MORTGAGE,2021-11-10,2021-05-16,2021-10-14,Fully Paid,2021-11-14,1193520,car,A1,36 months,Not Verified,64320.0,0.025,243.49,0.0603,8000,17,8765,Good Loan,1,0,2021.0,11.0,November,2021-11,765,1.0956
796355,RI,10+ years,Local 51,A,MORTGAGE,2021-11-06,2021-04-16,2021-07-14,Fully Paid,2021-08-14,1001198,car,A1,36 months,Not Verified,79200.0,0.0218,150.8,0.0542,5000,28,5429,Good Loan,1,0,2021.0,11.0,November,2021-11,429,1.0858
868443,DE,10+ years,Bank of America,A,MORTGAGE,2021-11-09,2021-05-16,2021-04-14,Fully Paid,2021-05-14,1082151,car,A1,36 months,Not Verified,63996.0,0.0651,96.52,0.0542,3200,26,3468,Good Loan,1,0,2021.0,11.0,November,2021-11,268,1.0838
683816,NY,10+ years,operating engineers local 158,A,MORTGAGE,2021-11-03,2021-09-11,2021-09-11,Fully Paid,2021-10-11,873188,car,A1,36 months,Not Verified,72000.0,0.2075,223.19,0.0542,7400,23,7556,Good Loan,1,0,2021.0,11.0,November,2021-11,156,1.0211
1023029,PA,10+ years,williams service co,A,MORTGAGE,2021-11-11,2021-11-14,2021-12-14,Fully Paid,2022-01-14,1251828,car,A1,36 months,Not Verified,72000.0,0.1782,152.18,0.0603,5000,37,5478,Good Loan,1,0,2021.0,11.0,November,2021-11,478,1.0956
886517,NM,10+ years,"C&E Concrete,inc.",A,MORTGAGE,2021-11-09,2021-09-14,2021-10-14,Fully Paid,2021-11-14,1102391,car,A1,36 months,Not Verified,41784.0,0.1872,152.18,0.0603,5000,22,5478,Good Loan,1,0,2021.0,11.0,November,2021-11,478,1.0956
1001581,TX,10+ years,BASF Corporation,A,MORTGAGE,2021-11-10,2021-05-16,2021-10-13,Fully Paid,2021-11-13,1227382,car,A1,36 months,Not Verified,96000.0,0.238,182.62,0.0603,6000,27,6493,Good Loan,1,0,2021.0,11.0,November,2021-11,493,1.0822
1004019,NY,10+ years,village of solvay dpw,A,MORTGAGE,2021-11-10,2021-04-16,2021-08-14,Fully Paid,2021-09-14,1230439,car,A1,36 months,Not Verified,54000.0,0.2407,182.62,0.0603,6000,32,6569,Good Loan,1,0,2021.0,11.0,November,2021-11,569,1.0948
675716,NV,10+ years,Gideon Toal/U.P.R Inc.,A,MORTGAGE,2021-11-02,2021-04-14,2021-03-14,Fully Paid,2021-04-14,863546,car,A1,36 months,Not Verified,36000.0,0.2293,271.44,0.0542,9000,47,9772,Good Loan,1,0,2021.0,11.0,November,2021-11,772,1.0858
887254,MN,10+ years,City of West St Paul,A,MORTGAGE,2021-11-10,2021-05-16,2021-11-14,Fully Paid,2021-12-14,1103400,car,A1,36 months,Not Verified,114000.0,0.1658,219.14,0.0603,7200,52,7889,Good Loan,1,0,2021.0,11.0,November,2021-11,689,1.0957
865714,TX,10+ years,Harris County,A,MORTGAGE,2021-11-09,2021-05-16,2021-08-13,Fully Paid,2021-09-13,1078994,car,A1,36 months,Not Verified,48000.0,0.1732,170.41,0.0542,5650,32,6067,Good Loan,1,0,2021.0,11.0,November,2021-11,417,1.0738
770503,LA,10+ years,LSU MEDICAL CENTER OF LOUISIANA,A,MORTGAGE,2021-11-06,2021-01-12,2021-01-12,Fully Paid,2021-02-12,972180,car,A2,36 months,Not Verified,39600.0,0.1406,182.51,0.0599,6000,32,6194,Good Loan,1,0,2021.0,11.0,November,2021-11,194,1.0323
548151,NJ,10+ years,ABERDEEN TWSP,A,MORTGAGE,2021-10-07,2021-05-16,2021-08-13,Fully Paid,2021-09-13,706758,car,A2,36 months,Not Verified,108000.0,0.1976,107.69,0.0676,3500,37,3877,Good Loan,1,0,2021.0,10.0,October,2021-10,377,1.1077
542312,FL,10+ years,Micros Systems Inc.,A,MORTGAGE,2021-10-07,2021-05-16,2021-07-13,Fully Paid,2021-08-13,699868,car,A2,36 months,Not Verified,57431.0,0.0618,123.07,0.0676,4000,21,4431,Good Loan,1,0,2021.0,10.0,October,2021-10,431,1.1078
1008323,AR,10+ years,Arkansas Department Of Correction,A,MORTGAGE,2021-11-11,2021-12-15,2021-12-14,Fully Paid,2022-01-14,1234988,car,A3,36 months,Not Verified,32468.8,0.2935,186.67,0.0751,6000,16,6714,Good Loan,1,0,2021.0,11.0,November,2021-11,714,1.119
457893,AR,10+ years,Kroger,A,MORTGAGE,2021-09-11,2021-11-12,2021-11-12,Fully Paid,2021-12-12,569597,car,A3,36 months,Not Verified,26000.0,0.0429,218.54,0.0774,7000,11,7867,Good Loan,1,0,2021.0,9.0,September,2021-09,867,1.1239
451579,OH,10+ years,Alliance Data Systems,A,MORTGAGE,2021-09-10,2021-06-14,2021-03-12,Fully Paid,2021-04-12,556476,car,A3,36 months,Not Verified,75000.0,0.0234,156.1,0.0774,5000,21,5584,Good Loan,1,0,2021.0,9.0,September,2021-09,584,1.1168
1027822,KY,10+ years,City of Madisonville,A,MORTGAGE,2021-11-11,2021-05-16,2021-08-14,Fully Paid,2021-09-14,1257204,car,A3,36 months,Not Verified,58000.0,0.2692,56.0,0.0751,1800,28,2013,Good Loan,1,0,2021.0,11.0,November,2021-11,213,1.1183
